exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
11,13,0,0,0,0,0,5845,4131,0.0,411,82.2
11,12,0,0,0,0,0,5846,4131,0.0,412,82.4
11,11,0,0,0,0,0,5847,4131,0.0,413,82.6
11,11,0,0,0,0,0,5847,4131,0.0,414,82.8
11,10,0,0,0,0,0,5848,4131,0.0,415,83.0
11,9,0,0,0,0,0,5849,4131,0.0,416,83.2
11,9,0,0,0,0,0,5849,4131,0.0,417,83.4
11,9,0,0,0,0,0,5849,4131,0.0,418,83.6
11,9,0,0,0,0,0,5849,4131,0.0,419,83.8
11,8,0,0,0,0,0,5850,4131,0.0,420,84.0
11,7,0,0,0,0,0,5851,4131,0.0,421,84.2
11,7,0,0,0,0,0,5851,4131,0.0,422,84.4
10,8,0,0,0,0,0,5851,4131,0.0,423,84.6
10,8,0,0,0,0,0,5851,4131,0.0,424,84.8
9,8,0,0,0,0,0,5852,4131,0.0,425,85.0
10,8,0,0,0,0,0,5852,4130,0.0,426,85.2
10,7,0,0,0,0,0,5853,4130,0.0,427,85.4
10,6,0,0,0,0,0,5854,4130,0.0,428,85.6
11,6,0,0,0,0,0,5855,4128,0.0,429,85.8
10,7,0,0,0,0,0,5855,4128,0.0,430,86.0
9,8,0,0,0,0,0,5855,4128,0.0,431,86.2
9,8,0,0,0,0,0,5855,4128,0.0,432,86.4
8,8,0,0,0,0,0,5856,4128,0.0,433,86.6
7,9,0,0,0,0,0,5856,4128,0.0,434,86.8
7,9,0,0,0,0,0,5856,4128,0.0,435,87.0
6,9,0,0,0,0,0,5857,4128,0.0,436,87.2
6,8,0,0,0,0,0,5858,4128,0.0,437,87.4
6,7,0,0,0,0,0,5859,4128,0.0,438,87.6
6,5,0,0,0,0,0,5861,4128,0.0,439,87.8
6,4,0,0,0,0,0,5862,4128,0.0,440,88.0
5,4,0,0,0,0,0,5863,4128,0.0,441,88.2
5,3,0,0,0,0,0,5864,4128,0.0,442,88.4
5,2,0,0,0,0,0,5865,4128,0.0,443,88.6
5,2,0,0,0,0,0,5865,4128,0.0,444,88.8
6,2,0,0,0,0,0,5865,4127,0.0,445,89.0
6,2,0,0,0,0,0,5865,4127,0.0,446,89.2
5,3,0,0,0,0,0,5865,4127,0.0,447,89.4
5,2,0,0,0,0,0,5866,4127,0.0,448,89.6
5,2,0,0,0,0,0,5866,4127,0.0,449,89.8
5,2,0,0,0,0,0,5866,4127,0.0,450,90.0
5,2,0,0,0,0,0,5866,4127,0.0,451,90.2
5,2,0,0,0,0,0,5866,4127,0.0,452,90.4
5,1,0,0,0,0,0,5867,4127,0.0,453,90.6
5,1,0,0,0,0,0,5867,4127,0.0,454,90.8
4,2,0,0,0,0,0,5867,4127,0.0,455,91.0
